material_id,material_name,source_library,nd,Vd,PgF,material_type,available_in_dji,role_candidate,notes
dji_target:CDGM-ZEMAX202509:H-QK1,H-QK1,dji_target,1.470470,66.876032,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-QK3L,H-QK3L,dji_target,1.487490,70.440487,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K1,H-K1,dji_target,1.499670,62.071979,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K2,H-K2,dji_target,1.500470,66.020774,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K3,H-K3,dji_target,1.504630,64.720718,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:K4A,K4A,dji_target,1.508020,61.052897,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K5,H-K5,dji_target,1.510072,63.364525,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K6,H-K6,dji_target,1.511125,60.478905,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K7,H-K7,dji_target,1.514780,60.634896,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K8,H-K8,dji_target,1.516020,56.794825,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K9L,H-K9L,dji_target,1.516800,64.198732,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K9LGT,H-K9LGT,dji_target,1.516800,64.198732,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K9L*,H-K9L*,dji_target,1.516800,64.198732,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K9LA,H-K9LA,dji_target,1.516800,64.198695,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K9LAGT,H-K9LAGT,dji_target,1.516800,64.198695,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K10,H-K10,dji_target,1.518180,58.949331,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K11,H-K11,dji_target,1.526380,60.157370,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K12,H-K12,dji_target,1.533589,55.469983,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K50,H-K50,dji_target,1.522490,59.480754,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-K51,H-K51,dji_target,1.523070,58.639792,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZPK1A,H-ZPK1A,dji_target,1.618000,63.392702,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZPK2A,H-ZPK2A,dji_target,1.603001,65.459620,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZPK3,H-ZPK3,dji_target,1.593490,67.285372,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZPK5,H-ZPK5,dji_target,1.592800,68.342024,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZPK7,H-ZPK7,dji_target,1.569070,71.304254,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAK1,H-BAK1,dji_target,1.530280,60.466139,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAK2,H-BAK2,dji_target,1.539960,59.724182,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAK3,H-BAK3,dji_target,1.546780,62.776077,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAK4,H-BAK4,dji_target,1.552480,63.365490,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAK5,H-BAK5,dji_target,1.560690,58.344731,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAK6,H-BAK6,dji_target,1.563880,60.764747,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAK7,H-BAK7,dji_target,1.568830,56.041308,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAK7GT,H-BAK7GT,dji_target,1.568830,56.041308,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAK8,H-BAK8,dji_target,1.572500,57.486797,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK1,H-ZK1,dji_target,1.568880,62.956990,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK2,H-ZK2,dji_target,1.583130,59.460082,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK3,H-ZK3,dji_target,1.589130,61.253571,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK3A,H-ZK3A,dji_target,1.589130,61.253100,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK4,H-ZK4,dji_target,1.608810,58.855991,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK5,H-ZK5,dji_target,1.611170,55.772437,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK6,H-ZK6,dji_target,1.612720,58.577083,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK7A,H-ZK7A,dji_target,1.613090,60.355862,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK8,H-ZK8,dji_target,1.614050,55.116283,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK9B,H-ZK9B,dji_target,1.620410,60.339343,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK9A,H-ZK9A,dji_target,1.620412,60.368242,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK10,H-ZK10,dji_target,1.622100,56.709831,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK10L,H-ZK10L,dji_target,1.622800,56.913492,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK11,H-ZK11,dji_target,1.638540,55.446553,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK14,H-ZK14,dji_target,1.603110,60.603787,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK20,H-ZK20,dji_target,1.617200,53.913743,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK21,H-ZK21,dji_target,1.622990,58.120667,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK50,H-ZK50,dji_target,1.607380,56.654511,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZK50GT,H-ZK50GT,dji_target,1.607380,56.654511,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK1,H-LAK1,dji_target,1.659500,57.347260,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK2A,H-LAK2A,dji_target,1.692110,54.539198,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK3,H-LAK3,dji_target,1.746930,50.950085,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK4L,H-LAK4L,dji_target,1.640000,60.202769,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK5A,H-LAK5A,dji_target,1.677900,55.514970,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK6A,H-LAK6A,dji_target,1.693500,53.380441,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK7A,H-LAK7A,dji_target,1.713000,53.832974,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK8B,H-LAK8B,dji_target,1.720000,50.280736,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK8A,H-LAK8A,dji_target,1.720000,50.343857,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK10,H-LAK10,dji_target,1.651130,55.890872,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK11,H-LAK11,dji_target,1.664610,54.612239,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK12,H-LAK12,dji_target,1.696800,56.175305,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK50A,H-LAK50A,dji_target,1.651600,58.403057,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK51A,H-LAK51A,dji_target,1.696800,55.526357,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK52,H-LAK52,dji_target,1.729160,54.684737,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK53B,H-LAK53B,dji_target,1.755000,52.322058,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK53A,H-LAK53A,dji_target,1.755000,52.320574,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK54,H-LAK54,dji_target,1.734000,51.485829,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK59A,H-LAK59A,dji_target,1.691000,54.815309,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK61,H-LAK61,dji_target,1.740999,52.676196,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK67,H-LAK67,dji_target,1.670000,51.738482,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK71,H-LAK71,dji_target,1.703000,52.406734,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAK72,H-LAK72,dji_target,1.713000,51.806650,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-TK9,H-TK9,dji_target,1.587166,75.902131,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-KF6,H-KF6,dji_target,1.517420,52.149249,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-QF1,H-QF1,dji_target,1.548140,45.820011,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-QF3,H-QF3,dji_target,1.575010,41.504715,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-QF6A,H-QF6A,dji_target,1.531720,48.839833,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-QF8,H-QF8,dji_target,1.540720,47.230007,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-QF14,H-QF14,dji_target,1.595510,39.222748,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-QF50,H-QF50,dji_target,1.581440,40.888972,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-QF50A,H-QF50A,dji_target,1.581440,40.746424,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:QF50,QF50,dji_target,1.581440,40.885954,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-QF56,H-QF56,dji_target,1.567320,42.810117,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-F1,H-F1,dji_target,1.603420,38.010877,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-F2,H-F2,dji_target,1.612930,37.004441,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-F3,H-F3,dji_target,1.616590,36.651688,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-F4,H-F4,dji_target,1.620050,36.345886,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-F5,H-F5,dji_target,1.624350,35.923444,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-F6,H-F6,dji_target,1.624950,35.585173,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-F13,H-F13,dji_target,1.625880,35.698971,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-F51,H-F51,dji_target,1.639800,34.464570,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-F52,H-F52,dji_target,1.613850,34.604703,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAF2,H-BAF2,dji_target,1.569700,49.452646,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAF3,H-BAF3,dji_target,1.579570,53.711637,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAF4,H-BAF4,dji_target,1.582670,46.597786,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAF5,H-BAF5,dji_target,1.605620,43.875621,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAF6,H-BAF6,dji_target,1.608010,46.202418,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAF7,H-BAF7,dji_target,1.614130,39.985319,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-BAF8,H-BAF8,dji_target,1.626040,39.071631,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZBAF1,H-ZBAF1,dji_target,1.622300,53.170869,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZBAF3,H-ZBAF3,dji_target,1.656910,51.121380,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZBAF4,H-ZBAF4,dji_target,1.664260,35.484251,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
